Syntax version=4
Sat Mar 16 08:56:33 2019
Starting process (2143480 clocks per sec)

LogRawData=false
VarHeader=1
D:		GlobalCommand	jointSet.JOINT1	jointSet.JOINT2	jointSet.JOINT3	jointSet.JOINT4	jointSet.JOINT5	jointMeasured.JOINT1	jointMeasured.JOINT2	jointMeasured.JOINT3	jointMeasured.JOINT4	jointMeasured.JOINT5	meaPosition.P.x	meaPosition.P.y	meaPosition.P.z	msTicks	Int_Cnt	dstPosition.P.x	dstPosition.P.y	dstPosition.P.z	TEST	CAL	BASE.DcMotor.State.measuredError	SHLDR.DcMotor.State.measuredError	ELBOW.DcMotor.State.measuredError	PITCH.DcMotor.State.measuredError	ROLL.DcMotor.State.measuredError	sqr_euclideDistance
D:	time(ms)	(0x20000024,1)	(0x200005d0,6)	(0x200005d4,6)	(0x200005d8,6)	(0x200005dc,6)	(0x200005e0,6)	(0x200005e4,6)	(0x200005e8,6)	(0x200005ec,6)	(0x200005f0,6)	(0x200005f4,6)	(0x2000064c,6)	(0x20000650,6)	(0x20000654,6)	(0x200003c0,4)	(0x20000018,4)	(0x2000061c,6)	(0x20000620,6)	(0x20000624,6)	(0x2000000e,0)	(0x2000000f,0)	(0x200003f0,7)	(0x20000458,7)	(0x200004c0,7)	(0x20000528,7)	(0x20000590,7)	(0x20000000,7)
D:	27.92	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	3989	3990	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	63.25	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4024	4025	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	102.73	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4064	4060	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	141.45	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4103	4100	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	184.57	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4146	4145	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	220.58	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4182	4180	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	256.89	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4218	4215	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	303.04	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4264	4265	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	340.46	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4302	4300	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	384.75	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4346	4345	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	420.71	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4382	4380	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	456.03	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4417	4415	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	502.49	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4463	4460	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
D:	541.05	-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	-0.450000	-0.000000	0.000000	368.994629	0.000000	60.633423	4503	4500	369.000000	0.000000	62.000000	0	0	0.000000	0.450000	0.000000	-0.000000	0.000000	1.867562
